x,y,hue
1,65285.6752,c
2,66512.6061,c
3,67331.7082,c
4,68018.5415,c
5,68087.4315,c
6,67767.093,c
7,67328.9526,c
8,66393.4264,c
9,64727.6662,c
10,62835.9468,c
11,60216.749,c
12,57376.4143,c
13,54539.5241,c
14,51024.7563,c
15,47152.4494,c
16,43718.9718,c
17,39334.8122,c
18,35930.2684,c
19,31714.8893,c
20,27420.9756,c
21,23592.7583,c
22,19781.0746,c
23,16636.935,c
24,13599.5749,c
25,10912.8649,c
26,8711.1405,c
27,6775.3315,c
28,5590.4235,c
29,4532.962,c
30,3777.2387,c
31,3217.163,c
32,2772.1336,c
33,2485.5512,c
34,2194.1465,c
35,1865.5412,c
1,46902.3787,c
2,43585.3252,c
3,39688.9068,c
4,36397.3426,c
5,32404.4782,c
6,28318.6123,c
7,24904.4239,c
8,20906.0483,c
9,17646.1735,c
10,14096.2718,c
11,10967.9769,c
12,8569.916,c
13,6569.3504,c
14,5131.6161,c
15,3959.7972,c
16,3050.4492,c
17,2451.7951,c
18,1922.031,c
19,1585.8478,c
20,1229.6865,c
21,884.5476,c
22,628.9657,c
23,375.4505,c
24,217.0035,c
25,74.4012,c
26,19.2892,c
27,0,c
28,0,c
29,0,c
30,0,c
31,0,c
32,0,c
33,0,c
34,0,c
35,0,c
1,53692.866,c
2,51943.06,c
3,49888.0713,c
4,47503.7884,c
5,44526.3626,c
6,41906.4759,c
7,38204.3273,c
8,34617.225,c
9,31010.8335,c
10,27042.0806,c
11,24136.9893,c
12,20364.5729,c
13,16980.6961,c
14,13751.1329,c
15,10618.7046,c
16,8669.1176,c
17,6482.549,c
18,4996.5917,c
19,3799.9724,c
20,2965.0256,c
21,2415.2834,c
22,1899.9862,c
23,1525.9135,c
24,1183.5302,c
25,858.3694,c
26,651.6994,c
27,395.4286,c
28,174.9806,c
29,66.1344,c
30,12.4002,c
31,2.7556,c
32,0,c
33,0,c
34,0,c
35,0,c
1,11145.0242,e
2,15237.7791,e
3,19290.5778,e
4,22400.2724,e
5,25749.0153,e
6,28198.7437,e
7,30870.2979,e
8,33235.9805,e
9,34975.453,e
10,36701.8364,e
11,38072.7474,e
12,39323.7898,e
13,40277.9163,e
14,40910.3265,e
15,41347.0891,e
16,41535.1588,e
17,41486.2469,e
18,41062.5734,e
19,40472.875,e
20,39497.3926,e
21,38614.9117,e
22,36970.5074,e
23,35169.7228,e
24,33381.3384,e
25,30937.1212,e
26,28907.6218,e
27,25985.9969,e
28,23002.371,e
29,20362.5062,e
30,17467.7484,e
31,15156.4889,e
32,12426.3782,e
33,9843.0032,e
34,7681.9239,e
35,5719.2478,e
1,13199.324,e
2,13855.8457,e
3,14830.6392,e
4,15858.478,e
5,17050.275,e
6,18580.3219,e
7,20261.2379,e
8,22616.587,e
9,24756.3104,e
10,26452.3822,e
11,28215.9662,e
12,29460.8085,e
13,30680.8504,e
14,31765.179,e
15,32305.2766,e
16,32846.0631,e
17,32922.531,e
18,32939.7535,e
19,32688.305,e
20,32220.5419,e
21,31326.3497,e
22,30648.4721,e
23,29286.5168,e
24,27772.3146,e
25,26138.2438,e
26,24205.8793,e
27,22326.5601,e
28,19908.5211,e
29,17395.4139,e
30,15376.9369,e
31,12915.4972,e
32,10869.4642,e
33,8626.4058,e
34,6405.3922,e
35,4802.3219,e
1,26225.7341,e
2,28860.7766,e
3,32021.4498,e
4,34688.1817,e
5,37922.5672,e
6,41092.1961,e
7,43637.6816,e
8,46046.076,e
9,47917.1284,e
10,49837.0927,e
11,51230.7374,e
12,52058.7952,e
13,52532.7584,e
14,52603.7151,e
15,52399.1118,e
16,51792.1909,e
17,51053.6901,e
18,49790.9364,e
19,48497.1822,e
20,46719.8202,e
21,44637.2755,e
22,42615.354,e
23,39945.1776,e
24,37633.2292,e
25,34934.8079,e
26,32133.7405,e
27,29621.3222,e
28,26703.1418,e
29,24024.0097,e
30,21072.7621,e
31,18317.851,e
32,16005.2137,e
33,13851.7123,e
34,11862.1691,e
35,9692.1341,e
